EntityName,DataYear,Fixed broadband 5GB,Mobile broadband data only 1.5 GB,Mobile Data and Voice Low Usage,Mobile Data and Voice High Usage
Saint Kitts and Nevis,2014,2.95,,4.17,
Jamaica,2014,5.75,5.25,3.68,
Haiti,2014,,32.36,14.56,
Guyana,2015,7.38,4.72,4.13,
Grenada,2015,4.3,2.58,3.37,
Dominica,2015,5.58,3.85,5.9,
Haiti,2015,,28.86,12.99,
Jamaica,2015,5.46,2.99,3.49,
Cayman Islands,2015,,,,
Turks & Caicos Is.,2015,,,,
Trinidad and Tobago,2015,1.3,0.53,1.61,
Suriname,2015,4.47,2.55,3.07,
Saint Vincent and the Grenadines,2015,7.33,3.36,2.69,
Saint Lucia,2015,5.98,2.82,2.45,
Anguilla,2015,,,,
Antigua and Barbuda,2015,4.96,2.77,0.84,
Montserrat,2015,,,,
Bahamas,2015,1.72,1.54,1.23,
Saint Kitts and Nevis,2015,2.83,1.16,1.1,
Belize,2015,3.45,3.45,4.14,
Bermuda,2015,,,,
British Virgin Islands,2015,,,,
Barbados,2015,2.33,1.4,1.55,
Bahamas,2016,1.74,1.56,0.62,
Turks & Caicos Is.,2016,,,,
Trinidad and Tobago,2016,1.4,2.29,1.33,
British Virgin Islands,2016,,,,
Suriname,2016,3.08,1.84,2.47,
Jamaica,2016,5.33,2.92,3.79,
Haiti,2016,70.93,42.1,10.53,
Dominica,2016,5.68,3.92,3.53,
Saint Vincent and the Grenadines,2016,6.09,3.35,1.68,
Saint Lucia,2016,5.5,2.78,2.42,
Bermuda,2016,,,,
Montserrat,2016,,,,
Guyana,2016,8.52,4.69,1.42,
Barbados,2016,2.69,1.74,1.24,
Saint Kitts and Nevis,2016,2.8,1.15,1.09,
Cayman Islands,2016,2.05,1.17,0.65,
Grenada,2016,4.08,2.36,2.36,
Anguilla,2016,2.54,2.82,0.93,
Antigua and Barbuda,2016,4.81,5.33,1.17,
Belize,2016,3.34,3.34,4.01,
Trinidad and Tobago,2017,1.58,0.64,,
Jamaica,2017,8.74,5.33,1.38,
Saint Kitts and Nevis,2017,2.74,1.08,1.03,
Montserrat,2017,,,,
Saint Vincent and the Grenadines,2017,5.83,5.72,5.49,
Saint Lucia,2017,4.51,,1.72,
Suriname,2017,6.04,2.4,3.99,
British Virgin Islands,2017,,,,
Turks & Caicos Is.,2017,,,,
Guyana,2017,7.82,7.58,1.56,
Grenada,2017,4.56,2.12,3.68,
Dominica,2017,5.53,3.81,3.5,
Cayman Islands,2017,,,,
Bermuda,2017,,,,
Belize,2017,5.33,3.42,4.1,
Barbados,2017,2.9,1.62,1.16,
Bahamas,2017,1.23,0.88,0.44,
Antigua and Barbuda,2017,3.61,4.99,1.13,
Anguilla,2017,,,,
Haiti,2017,154.82,43.88,4.39,
Jamaica,2018,5.98,5.6,5.08,5.4
Haiti,2018,82.5,11.02,15.02,19.67
Guyana,2018,7.64,4.61,4.62,6.68
Grenada,2018,4.5,3.45,4.54,5.08
Dominica,2018,5.86,3.39,3.7,3.7
Barbados,2018,3.35,1.18,1.57,3.54
British Virgin Islands,2018,,,,
Bermuda,2018,,,,
Belize,2018,8.77,4.45,6.36,6.36
Montserrat,2018,,,,
Bahamas,2018,1.19,0.58,1.59,1.59
Antigua and Barbuda,2018,3.65,2.25,2.53,2.53
Cayman Islands,2018,,,,
Saint Kitts and Nevis,2018,2.27,1.57,2.38,3.27
Anguilla,2018,,,,
Saint Lucia,2018,4.18,1.17,4.37,4.91
Trinidad and Tobago,2018,1.55,2.73,2.46,3.07
Turks & Caicos Is.,2018,,,,
Suriname,2018,6.77,1.93,3.01,5.8
Saint Vincent and the Grenadines,2018,6.12,4.59,4.79,5.3
Saint Kitts and Nevis,2019,2.76,2.38,,2.38
Suriname,2019,6.77,1.93,3.01,3.22
Cayman Islands,2019,,,,
British Virgin Islands,2019,,,,
Bermuda,2019,,,,
Belize,2019,8.77,4.45,6.36,6.36
Barbados,2019,3.35,1.18,1.57,2.95
Bahamas,2019,1.38,0.58,1.59,1.59
Turks & Caicos Is.,2019,,,,
Antigua and Barbuda,2019,3.65,2.81,2.81,2.81
Anguilla,2019,,,,
Trinidad and Tobago,2019,1.55,3.07,2.46,3.07
Dominica,2019,5.86,3.39,3.7,3.7
Haiti,2019,82.5,3.97,13.8,24.5
Grenada,2019,5.45,3.45,4.32,4.32
Montserrat,2019,,,,
Guyana,2019,8.01,4.61,4.62,6.68
Saint Lucia,2019,4.42,2.82,,4.16
Saint Vincent and the Grenadines,2019,6.72,4.59,,5.3
Jamaica,2019,6.41,5.6,4.35,4.72
Montserrat,2020,,,,
Anguilla,2020,,,,
Turks & Caicos Is.,2020,,,,
Antigua and Barbuda,2020,3.05,2.65,2.65,2.65
Jamaica,2020,5.69,2.85,3.48,3.8
Bahamas,2020,1.32,0.55,1.06,1.06
Saint Lucia,2020,4.07,3.25,3.41,3.82
Trinidad and Tobago,2020,1.48,2.33,2.33,2.33
Dominica,2020,5.17,4.62,4.84,5.38
Haiti,2020,83.54,3.42,11.91,21.13
Belize,2020,9.47,4.8,6.86,6.86
Guyana,2020,7.09,4.08,4.08,5.91
Bermuda,2020,,,,
Saint Vincent and the Grenadines,2020,7.2,5.7,5.92,6.46
British Virgin Islands,2020,,,,
Saint Kitts and Nevis,2020,2.74,2.37,2.37,2.37
Grenada,2020,5.37,3.4,4.25,4.25
Cayman Islands,2020,2.46,0.74,1.4,1.58
Barbados,2020,3.08,1.88,3.08,3.08
Suriname,2020,5.96,2.34,2.45,2.63
